piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	score_integrity	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	imslp	librettist	musicbrainz	viaf	wikidata	pdf	sceneNumber	sceneTitle	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument	staff_5_ambitus	staff_5_instrument	staff_6_ambitus	staff_6_instrument	staff_7_ambitus	staff_7_instrument	staff_8_ambitus	staff_8_instrument	staff_9_ambitus	staff_9_instrument	staff_10_ambitus	staff_10_instrument	staff_11_ambitus	staff_11_instrument	staff_12_ambitus	staff_12_instrument	staff_13_ambitus	staff_13_instrument	staff_14_ambitus	staff_14_instrument	staff_15_ambitus	staff_15_instrument	staff_16_ambitus	staff_16_instrument	staff_17_ambitus	staff_17_instrument	staff_18_ambitus	staff_18_instrument	staff_19_ambitus	staff_19_instrument	staff_20_ambitus	staff_20_instrument	staff_21_ambitus	staff_21_instrument
peri_euridice_scene_0	1: 4/2	1: -1	15	14	120.0	15	14	120.0	220.5	103	70	0	0	31	F	2.3.0	Davor Krkljus	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice		Prologue			Ottavio Rinuccini			2020-11-16	3.02	Microsoft Windows			Prologue	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_0.mscx	False	41-74 (F2-D5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28586	0	Prologue	63-74 (Eb4-D5)	Voice	41-53 (F2-F3)	Piano																																						
peri_euridice_scene_1	1: 4/4, 2: 4/2, 33: 3/4, 36: 6/4, 47: 6/2, 48: 4/2, 98: 6/2, 102: 4/2, 121: 2/2	1: 0, 19: -1, 39: 0, 59: -2, 65: -1	121	119	939.0	121	119	939.0	2092.5	1328	858	0	0	342	G	2.3.0	Davor Krkljus	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice	1	Ninfe, ch’i bei crin d’oro			Ottavio Rinuccini			2020-11-17	3.02	Microsoft Windows			1. Ninfe, ch’i bei crin d’oro	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_1.mscx	False	41-76 (F2-E5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28586	1		62-74 (D4-D5)	Voice	64-71 (E4-B4)	Voice		Voice		Voice		Voice		Voice	64-74 (E4-D5)	Soprano	67-74 (G4-D5)	Voice	65-76 (F4-E5)	Soprano	62-74 (D4-D5)	Voice	57-69 (A3-A4)	Voice	50-73 (D3-C#5)	Voice	43-57 (G2-A3)	Bass	50-64 (D3-E4)	Voice		Voice		Soprano		Voice		Voice	65-74 (F4-D5)	Voice		Voice	41-58 (F2-Bb3)	Piano
peri_euridice_scene_2	1: 2/2, 2: 4/2, 61: 2/2, 62: 6/2, 69: 3/2, 70: 4/2, 79: 2/2, 80: 6/2, 84: 3/2, 85: 4/2	1: 0, 34: -1, 43: 0, 92: -1, 112: 0, 128: -1, 163: 0, 182: -1, 203: 0, 207: -1, 216: 0, 226: -1, 247: 0, 253: -1	288	288	2332.0	288	288	2332.0	4807.0	2759	2039	0	0	732	G	2.3.0	Davor Krkljus	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice	2	Antri, ch’a’ miei lamenti			Ottavio Rinuccini			2020-11-17	3.02	Microsoft Windows			2. Antri, ch’a’ miei lamenti	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_2.mscx	False	38-76 (D2-E5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28586	2			Voice	55-67 (G3-G4)	Voice	52-64 (E3-E4)	Voice	62-76 (D4-E5)	Voice	55-62 (G3-D4)	Voice	54-62 (F#3-D4)	Voice	64-74 (E4-D5)	Soprano	62-74 (D4-D5)	Voice	66-76 (F#4-E5)	Soprano	66-72 (F#4-C5)	Voice	57-65 (A3-F4)	Voice	50-64 (D3-E4)	Voice	43-50 (G2-D3)	Bass	48-62 (C3-D4)	Voice	64-76 (E4-E5)	Voice	62-72 (D4-C5)	Soprano	61-74 (C#4-D5)	Voice	50-62 (D3-D4)	Voice	66-75 (F#4-Eb5)	Voice		Voice	38-58 (D2-Bb3)	Piano
peri_euridice_scene_3	1: 4/2	1: -1, 8: 0, 65: -1, 104: 0, 125: -1	135	135	1076.0	135	135	1076.0	2461.5	1475	998	0	0	323	G	2.3.0	Davor Krkljuš	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice	3	Se fato invido e rio			Ottavio Rinuccini			2020-11-17	3.02	Microsoft Windows			3. Se fato invido e rio	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_3.mscx	False	41-77 (F2-F5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28586	3		53-67 (F3-G4)	Voice		Voice	69-74 (A4-D5)	Voice		Voice		Voice		Soprano		Voice	65-77 (F4-F5)	Soprano	65-76 (F4-E5)	Voice	60-69 (C4-A4)	Voice	53-64 (F3-E4)	Voice	43-57 (G2-A3)	Bass	53-64 (F3-E4)	Voice		Voice		Soprano		Voice		Voice	64-74 (E4-D5)	Voice		Voice	41-57 (F2-A3)	Piano		
peri_euridice_scene_4	1: 4/2	1: 0, 14: -1, 56: 0, 102: -1, 194: 0, 225: -1, 250: 0, 257: -1, 285: 0, 292: -1	305	304	2440.0	305	304	2440.0	4972.75	2657	1953	0	0	721	D	2.3.0	Davor Krkljus	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice	4	Scorto da immortal guida			Ottavio Rinuccini			2020-12-07	3.02	Microsoft Windows			4. Scorto da immortal guida	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_4.mscx	False	38-74 (D2-D5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28587	4		62-71 (D4-B4)	Voice	50-65 (D3-F4)	Voice	48-58 (C3-Bb3)	Voice	64-74 (E4-D5)	Voice	48-62 (C3-D4)	Voice	48-62 (C3-D4)	Voice	65-74 (F4-D5)	Voice	60-70 (C4-Bb4)	Mezzo-soprano	57-67 (A3-G4)	Alto	50-63 (D3-Eb4)	Tenor	50-62 (D3-D4)	Tenor	41-55 (F2-G3)	Bass	38-57 (D2-A3)	Piano																
peri_euridice_scene_5	1: 4/2, 257: 6/2	1: 0, 24: -1, 33: 0, 46: -1, 50: 0, 176: -1, 185: 0, 209: -1, 217: 0, 236: -1	261	260	2108.0	261	260	2108.0	4438.0	2687	1853	0	0	735	C	2.3.0	Davor Krkljus	ST	Amelia Brey	1600	1600	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Jacopo Peri	Euridice	5	Già del bel carro ardente			Ottavio Rinuccini			2020-12-08	3.02	Microsoft Windows			5. Già del bel carro ardente	from: Euridice	Ottavio Rinuccini	Jacopo Peri	3.6.2	2.5.3	MS3	MS3/peri_euridice_scene_5.mscx	False	41-79 (F2-G5)	Q205519	https://imslp.org/wiki/Euridice_(Peri,_Jacopo)	Ottavio Rinuccini	https://musicbrainz.org/work/cfbcef82-e09f-4630-a939-e2bdec0eeadd	http://viaf.org/viaf/184548044/#Peri,_Jacopo,_1561-1633._|_Euridice	https://www.wikidata.org/wiki/Q748501	https://imslp.org/wiki/Special:ReverseLookup/28587	5		52-64 (E3-E4)	Voice	56-74 (G#3-D5)	Voice	67-76 (G4-E5)	Voice	64-75 (E4-Eb5)	Voice	50-64 (D3-E4)	Voice	67-76 (G4-E5)	Voice	66-76 (F#4-E5)	Voice	50-59 (D3-B3)	Voice	64-75 (E4-Eb5)	Soprano	64-74 (E4-D5)	Soprano	62-67 (D4-G4)	Alto	50-62 (D3-D4)	Tenor	41-55 (F2-G3)	Bass	58-74 (Bb3-D5)	Soprano	62-74 (D4-D5)	Soprano	67-79 (G4-G5)	Piano	41-58 (F2-Bb3)	Piano								
