mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0						𝅗𝅥=60	120.0	𝅗𝅥	60.0	0.0			
1	1	0	0	2.0	0	0	Chord	2/2	3	1	1/2	1/2	1	0	An-									
1	1	2	2	2.0	1/2	1/2	Chord	2/2	3	1	1/2	1/2	1	1	-tri									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/2	3	1	1/8	1/8	1	2	ch'a									
2	2	5	5	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	3	miei-									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	4	-la-									
2	2	6	6	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	5	-men-									
2	2	8	8	3.0	1	1	Chord	4/2	3	1	3/4	1/2	3/2	6	-ti									
2	2	11	11	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	7	Rim-									
2	2	23/2	23/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	8	-bom									
2	2	4	4	4.0	0	0	Chord	4/2	21	1	1	1	1	9										
2	2	8	8	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	10										
2	2	10	10	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	11										
3	3	12	12	3.0	0	0	Chord	4/2	3	1	3/4	1/2	3/2	12	ba-									
3	3	15	15	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	13	-ste									
3	3	31/2	31/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	14	do									
3	3	16	16	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	15	len-									
3	3	18	18	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	16	-ti									
3	3	12	12	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	17										
3	3	14	14	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#6	
3	3	14	14	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	18										
3	3	16	16	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	19										
3	3	18	18	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	20										
4	4	21	21	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	21	a-									
4	4	22	22	1.5	1/2	1/2	Chord	4/2	3	1	3/8	1/4	3/2	22	-mi-									
4	4	47/2	47/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	23	-che									
4	4	24	24	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	24	pia-									
4	4	26	26	1.5	3/2	3/2	Chord	4/2	3	1	3/8	1/4	3/2	25	-ggie									
4	4	55/2	55/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	26	E									
4	4	20	20	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	27										
4	4	22	22	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	28										
4	4	23	23	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#	
4	4	23	23	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	29										
4	4	24	24	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	30										
4	4	26	26	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	31										
5	5	28	28	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	32	voi									
5	5	30	30	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	33	pian-									
5	5	31	31	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	34	-te									
5	5	63/2	63/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	35	sel-									
5	5	32	32	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	36	-vag-									
5	5	34	34	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	37	-ge									
5	5	28	28	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	38										
5	5	30	30	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	39										
5	5	31	31	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	40										
5	5	32	32	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	41										
5	5	34	34	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	42										
