mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	slur
10	9	74	74	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	61	di									
10	9	75	75	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	62	pie-									
10	9	76	76	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	63	-ta									
10	9	78	78	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	64	vol-									
10	9	72	72	0.0	0	0	FiguredBass	4/2	2	1	0											1/2	4	
10	9	72	72	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	65										0
10	9	74	74	0.0	1/2	1/2	FiguredBass	4/2	2	1	0											1/2	3	
10	9	74	74	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	66										
10	9	76	76	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	67										
10	9	78	78	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	68										
11	10	80	80	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	69	-ti,e									
11	10	83	83	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	70										
11	10	84	84	4.0	1	1	Chord	4/2	1	1	1	1	1	71	sembian-									
11	10	80	80	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	72										
11	10	82	82	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	73										
11	10	84	84	4.0	1	1	Chord	4/2	2	1	1	1	1	74										
12	11	88	88	4.0	0	0	Chord	4/2	1	1	1	1	1	75	-ti.									
12	11	94	94	0.0	3/2	3/2	StaffText	4/2	1	1	0					RITORNELLO.								
12	11	94	94	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	76										
12	11	88	88	6.0	0	0	Chord	4/2	2	1	3/2	1	3/2	77										
12	11	94	94	0.0	3/2	3/2	FiguredBass	4/2	2	1	0											1/2	6	
12	11	94	94	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	78										
13	12	96	96	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	79										
13	12	98	98	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	80										
13	12	100	100	3.0	1	1	Chord	4/2	1	1	3/4	1/2	3/2	81										
13	12	103	103	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	82										
13	12	96	96	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	83										
13	12	98	98	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	84										
13	12	100	100	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	85										
13	12	101	101	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	86										
13	12	102	102	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	87										
13	12	103	103	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	88										
14	13	104	104	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	89										
14	13	105	105	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	90										
14	13	106	106	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	91										
14	13	108	108	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	92										
14	13	110	110	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	93										
14	13	104	104	3.0	0	0	Chord	4/2	2	1	3/4	1/2	3/2	94										
14	13	107	107	0.5	3/4	3/4	Chord	4/2	2	1	1/8	1/8	1	95										
14	13	215/2	215/2	0.5	7/8	7/8	Chord	4/2	2	1	1/8	1/8	1	96										
14	13	108	108	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	97										
14	13	109	109	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	98										
14	13	110	110	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	99										
14	13	111	111	0.5	7/4	7/4	Chord	4/2	2	1	1/8	1/8	1	100										
14	13	223/2	223/2	0.5	15/8	15/8	Chord	4/2	2	1	1/8	1/8	1	101										
15	14	112	112	4.0	0	0	Chord	4/2	1	1	1	1	1	102										
15	14	116	116	4.0	1	1	Chord	4/2	1	1	1	1	1	103										
15	14	112	112	0.0	0	0	FiguredBass	4/2	2	1	0											1/2	10	
15	14	112	112	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	104										
15	14	114	114	0.0	1/2	1/2	FiguredBass	4/2	2	1	0											1/2	11	
15	14	114	114	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	105										
15	14	116	116	4.0	1	1	Chord	4/2	2	1	1	1	1	106										
