mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	slur
2	1	8	8	0.0	0	0	Tempo	4/2	1	1	0						𝅗𝅥=72	144.0	𝅗𝅥	72.0	1.0			
2	1	8	8	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	0	Io									
2	1	11	11	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	1	che									
2	1	12	12	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	2	d'al-									
2	1	14	14	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	3	-ti									
2	1	15	15	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	4	sos-									
2	1	8	8	4.0	0	0	Chord	4/2	2	1	1	1	1	5										
2	1	12	12	4.0	1	1	Chord	4/2	2	1	1	1	1	6										
3	2	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	7	-pir									
3	2	18	18	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	8	va-									
3	2	20	20	3.0	1	1	Chord	4/2	1	1	3/4	1/2	3/2	9	-ga,e									
3	2	23	23	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	10	di									
3	2	16	16	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	11										
3	2	18	18	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	12										
3	2	20	20	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	13										
3	2	22	22	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	14										
4	3	24	24	4.0	0	0	Chord	4/2	1	1	1	1	1	15	pian-									
4	3	28	28	4.0	1	1	Chord	4/2	1	1	1	1	1	16	-ti									
4	3	24	24	0.0	0	0	FiguredBass	4/2	2	1	0											1/2	11	
4	3	24	24	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	17										
4	3	26	26	0.0	1/2	1/2	FiguredBass	4/2	2	1	0											1/4	10	
4	3	26	26	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	18										
4	3	27	27	0.0	3/4	3/4	FiguredBass	4/2	2	1	0											1/4	9	
4	3	27	27	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	19										
4	3	28	28	4.0	1	1	Chord	4/2	2	1	1	1	1	20										
5	4	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	21	Spars'-									
5	4	34	34	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	22	-or									
5	4	35	35	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	23	di									
5	4	36	36	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	24	do-									
5	4	38	38	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	25	-glia									
5	4	32	32	4.0	0	0	Chord	4/2	2	1	1	1	1	26										
5	4	36	36	4.0	1	1	Chord	4/2	2	1	1	1	1	27										
6	5	81/2	81/2	0.5	1/8	1/8	Chord	4/2	1	1	1/8	1/8	1	28	hor									
6	5	41	41	0.5	1/4	1/4	Chord	4/2	1	1	1/8	1/8	1	29	di									
6	5	83/2	83/2	0.5	3/8	3/8	Chord	4/2	1	1	1/8	1/8	1	30	mi-									
6	5	42	42	1.5	1/2	1/2	Chord	4/2	1	1	3/8	1/4	3/2	31	-nac-									
6	5	87/2	87/2	0.5	7/8	7/8	Chord	4/2	1	1	1/8	1/8	1	32	-cieil									
6	5	44	44	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	33	vol-									
6	5	46	46	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	34	-to									
6	5	40	40	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	35										
6	5	42	42	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	36										
6	5	44	44	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	37										
6	5	46	46	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	38										
7	6	48	48	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	39	Fei									
7	6	51	51	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	40	ne-									
7	6	52	52	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	41	-gl'am-									
7	6	54	54	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	42	-pi-									
7	6	55	55	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	43	-te-									
7	6	48	48	4.0	0	0	Chord	4/2	2	1	1	1	1	44										
7	6	52	52	4.0	1	1	Chord	4/2	2	1	1	1	1	45										
8	7	56	56	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	46	-a-									
8	7	58	58	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	47	-tri									
8	7	61	61	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	48	al									
8	7	62	62	1.5	3/2	3/2	Chord	4/2	1	1	3/8	1/4	3/2	49	po-									
8	7	127/2	127/2	0.5	15/8	15/8	Chord	4/2	1	1	1/8	1/8	1	50	-pol									
8	7	56	56	4.0	0	0	Chord	4/2	2	1	1	1	1	51										
8	7	60	60	4.0	1	1	Chord	4/2	2	1	1	1	1	52										
9	8	64	64	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	53	fol-									
9	8	66	66	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	54	-to									
9	8	68	68	3.0	1	1	Chord	4/2	1	1	3/4	1/2	3/2	55	Sco-									
9	8	71	71	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	56	-lo-									
9	8	64	64	4.0	0	0	Chord	4/2	2	1	1	1	1	57										
9	8	68	68	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	58										
9	8	70	70	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	59										
10	9	72	72	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	60	-rir									
