mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	slur
2	1	4	4	0.0	0	0	Tempo	4/2	1	1	0						𝅗𝅥=60	120.0	𝅗𝅥	60.0	0.0			
2	1	4	4	1.0	0	0	Chord	4/2	14	1	1/4	1/4	1	0	Nin-									
2	1	5	5	0.5	1/4	1/4	Chord	4/2	14	1	1/8	1/8	1	1	-fe									
2	1	11/2	11/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	2	ch'i									
2	1	6	6	1.5	1/2	1/2	Chord	4/2	14	1	3/8	1/4	3/2	3	bei									
2	1	15/2	15/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	4	crin									
2	1	8	8	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	5	d'o-									
2	1	10	10	0.5	3/2	3/2	Chord	4/2	14	1	1/8	1/8	1	6	-ro									
2	1	21/2	21/2	0.5	13/8	13/8	Chord	4/2	14	1	1/8	1/8	1	7	sco-									
2	1	11	11	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	8	-glie-									
2	1	23/2	23/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	9	-te									
2	1	4	4	4.0	0	0	Chord	4/2	21	1	1	1	1	10										
2	1	8	8	4.0	1	1	Chord	4/2	21	1	1	1	1	11										
3	2	12	12	1.5	0	0	Chord	4/2	14	1	3/8	1/4	3/2	12	lie-									
3	2	27/2	27/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	13	-teal-									
3	2	14	14	0.5	1/2	1/2	Chord	4/2	14	1	1/8	1/8	1	14	-lo									
3	2	29/2	29/2	0.5	5/8	5/8	Chord	4/2	14	1	1/8	1/8	1	15	scher-									
3	2	15	15	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	16	-zar									
3	2	31/2	31/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	17	de',									
3	2	16	16	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	18	ven-									
3	2	18	18	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	19	-ti									
3	2	19	19	1.0	7/4	7/4	Chord	4/2	14	1	1/4	1/4	1	20	E									
3	2	12	12	3.0	0	0	Chord	4/2	21	1	3/4	1/2	3/2	21										
3	2	15	15	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#6	
3	2	15	15	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	22										
3	2	16	16	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
3	2	16	16	4.0	1	1	Chord	4/2	21	1	1	1	1	23										
4	3	20	20	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	24	voi									
4	3	22	22	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	25	ch'al-									
4	3	23	23	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	26	-mo									
4	3	47/2	47/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	27	te-									
4	3	24	24	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	28	-so-									
4	3	25	25	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	29	-ro									
4	3	26	26	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	30	Den-									
4	3	27	27	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	31	-tro									
4	3	55/2	55/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	32	chiu-									
4	3	20	20	4.0	0	0	Chord	4/2	21	1	1	1	1	33										
4	3	24	24	4.0	1	1	Chord	4/2	21	1	1	1	1	34										
5	4	28	28	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	35	-de-									
5	4	30	30	0.5	1/2	1/2	Chord	4/2	14	1	1/8	1/8	1	36										
5	4	61/2	61/2	0.5	5/8	5/8	Chord	4/2	14	1	1/8	1/8	1	37	-tea'									
5	4	31	31	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	38	bei									
5	4	63/2	63/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	39	ru-									
5	4	32	32	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	40	-bi-									
5	4	33	33	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	41	-niar-									
5	4	34	34	1.5	3/2	3/2	Chord	4/2	14	1	3/8	1/4	3/2	42	-den-									0
5	4	71/2	71/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	43										
5	4	28	28	4.0	0	0	Chord	4/2	21	1	1	1	1	44										
5	4	32	32	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
5	4	32	32	4.0	1	1	Chord	4/2	21	1	1	1	1	45										
6	5	36	36	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	46	-ti.									
6	5	39	39	1.0	3/4	3/4	Chord	4/2	14	1	1/4	1/4	1	47	E									
6	5	40	40	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	48	voi									
6	5	85/2	85/2	0.5	13/8	13/8	Chord	4/2	14	1	1/8	1/8	1	49	ch'all'									
6	5	43	43	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	50	al-									
6	5	87/2	87/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	51	-bain									
6	5	36	36	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
6	5	36	36	4.0	0	0	Chord	4/2	21	1	1	1	1	52										
6	5	40	40	4.0	1	1	Chord	4/2	21	1	1	1	1	53										
7	6	44	44	1.5	0	0	Chord	4/2	14	1	3/8	1/4	3/2	54	ciel									
7	6	91/2	91/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	55	to-									
7	6	46	46	1.5	1/2	1/2	Chord	4/2	14	1	3/8	1/4	3/2	56	-glie-									
7	6	95/2	95/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	57	-tei									
7	6	48	48	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	58	van-									
7	6	50	50	2.0	3/2	3/2	Chord	4/2	14	1	1/2	1/2	1	59	-ti,									
7	6	44	44	4.0	0	0	Chord	4/2	21	1	1	1	1	60										
7	6	48	48	4.0	1	1	Chord	4/2	21	1	1	1	1	61										
8	7	52	52	1.0	0	0	Chord	4/2	14	1	1/4	1/4	1	62	Tut-									
8	7	53	53	0.5	1/4	1/4	Chord	4/2	14	1	1/8	1/8	1	63	-ti									
8	7	107/2	107/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	64	ve-									
8	7	54	54	0.5	1/2	1/2	Chord	4/2	14	1	1/8	1/8	1	65	-ni-									
8	7	109/2	109/2	0.5	5/8	5/8	Chord	4/2	14	1	1/8	1/8	1	66	-teo									
8	7	55	55	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	67	Pas-									
8	7	111/2	111/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	68	-to-									
8	7	56	56	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	69	-re-									
8	7	57	57	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	70	-llea-									
8	7	58	58	2.0	3/2	3/2	Chord	4/2	14	1	1/2	1/2	1	71	-man-									
8	7	52	52	4.0	0	0	Chord	4/2	21	1	1	1	1	72										
8	7	56	56	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
8	7	56	56	4.0	1	1	Chord	4/2	21	1	1	1	1	73										
9	8	60	60	4.0	0	0	Chord	4/2	14	1	1	1	1	74	-ti.									
9	8	65	65	0.5	5/4	5/4	Chord	4/2	14	1	1/8	1/8	1	75	E									
9	8	131/2	131/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	76	per									
9	8	66	66	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	77	que-									
9	8	67	67	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	78	-ste									
