quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	4.0	2	1	0	0	4/2	17	1	1	1	1		0	48	C3	3	7
8	1.0	2	1	0	0	4/2	2	1	1/4	1/4	1		4	64	E4	4	0
9	0.5	2	1	1/4	1/4	4/2	2	1	1/8	1/8	1		4	64	E4	4	1
19/2	0.5	2	1	3/8	3/8	4/2	2	1	1/8	1/8	1		4	64	E4	4	2
10	1.5	2	1	1/2	1/2	4/2	2	1	3/8	1/4	3/2		4	64	E4	4	3
23/2	0.5	2	1	7/8	7/8	4/2	2	1	1/8	1/8	1		4	64	E4	4	4
12	4.0	2	1	1	1	4/2	17	1	1	1	1	1	0	48	C3	3	8
12	2.0	2	1	1	1	4/2	2	1	1/2	1/2	1		4	64	E4	4	5
14	2.0	2	1	3/2	3/2	4/2	2	1	1/2	1/2	1		4	64	E4	4	6
16	2.0	3	2	0	0	4/2	17	1	1/2	1/2	1	-1	0	48	C3	3	19
16	1.0	3	2	0	0	4/2	2	1	1/4	1/4	1		0	60	C4	4	9
17	1.0	3	2	1/4	1/4	4/2	2	1	1/4	1/4	1		0	60	C4	4	10
18	2.0	3	2	1/2	1/2	4/2	17	1	1/2	1/2	1		1	55	G3	3	20
18	1.0	3	2	1/2	1/2	4/2	2	1	1/4	1/4	1		2	62	D4	4	11
19	0.5	3	2	3/4	3/4	4/2	2	1	1/8	1/8	1		2	62	D4	4	12
39/2	0.5	3	2	7/8	7/8	4/2	2	1	1/8	1/8	1		2	62	D4	4	13
20	2.0	3	2	1	1	4/2	17	1	1/2	1/2	1		0	48	C3	3	21
20	1.0	3	2	1	1	4/2	2	1	1/4	1/4	1		4	64	E4	4	14
21	1.0	3	2	5/4	5/4	4/2	2	1	1/4	1/4	1		4	64	E4	4	15
22	1.0	3	2	3/2	3/2	4/2	17	1	1/4	1/4	1		4	52	E3	3	22
22	1.5	3	2	3/2	3/2	4/2	2	1	3/8	1/4	3/2		1	67	G4	4	16
23	1.0	3	2	7/4	7/4	4/2	17	1	1/4	1/4	1		-1	53	F3	3	23
47/2	0.25	3	2	15/8	15/8	4/2	2	1	1/16	1/16	1		-1	65	F4	4	17
95/4	0.25	3	2	31/16	31/16	4/2	2	1	1/16	1/16	1		4	64	E4	4	18
24	2.0	4	3	0	0	4/2	17	1	1/2	1/2	1		1	55	G3	3	33
24	1.0	4	3	0	0	4/2	2	1	1/4	1/4	1		2	62	D4	4	24
25	1.0	4	3	1/4	1/4	4/2	2	1	1/4	1/4	1		2	62	D4	4	25
26	2.0	4	3	1/2	1/2	4/2	17	1	1/2	1/2	1		1	55	G3	3	34
27	1.0	4	3	3/4	3/4	4/2	2	1	1/4	1/4	1		2	62	D4	4	26
28	2.0	4	3	1	1	4/2	17	1	1/2	1/2	1		0	48	C3	3	35
28	0.5	4	3	1	1	4/2	2	1	1/8	1/8	1		4	64	E4	4	27
57/2	0.5	4	3	9/8	9/8	4/2	2	1	1/8	1/8	1		-1	65	F4	4	28
29	0.5	4	3	5/4	5/4	4/2	2	1	1/8	1/8	1		1	67	G4	4	29
59/2	0.5	4	3	11/8	11/8	4/2	2	1	1/8	1/8	1		4	64	E4	4	30
30	2.0	4	3	3/2	3/2	4/2	17	1	1/2	1/2	1		-1	53	F3	3	36
30	1.0	4	3	3/2	3/2	4/2	2	1	1/4	1/4	1		-1	65	F4	4	31
31	1.0	4	3	7/4	7/4	4/2	2	1	1/4	1/4	1		-1	65	F4	4	32
32	1.0	5	4	0	0	4/2	17	1	1/4	1/4	1		-1	53	F3	3	46
32	1.0	5	4	0	0	4/2	2	1	1/4	1/4	1		-1	65	F4	4	37
33	1.0	5	4	1/4	1/4	4/2	17	1	1/4	1/4	1		1	55	G3	3	47
33	0.5	5	4	1/4	1/4	4/2	2	1	1/8	1/8	1		2	62	D4	4	38
67/2	0.5	5	4	3/8	3/8	4/2	2	1	1/8	1/8	1		2	62	D4	4	39
34	2.0	5	4	1/2	1/2	4/2	17	1	1/2	1/2	1		0	48	C3	3	48
34	1.5	5	4	1/2	1/2	4/2	2	1	3/8	1/4	3/2		4	64	E4	4	40
71/2	0.5	5	4	7/8	7/8	4/2	2	1	1/8	1/8	1		0	60	C4	4	41
36	1.0	5	4	1	1	4/2	17	1	1/4	1/4	1		1	55	G3	3	49
36	1.5	5	4	1	1	4/2	2	1	3/8	1/4	3/2		2	62	D4	4	42
37	1.0	5	4	5/4	5/4	4/2	17	1	1/4	1/4	1		1	43	G2	2	50
75/2	0.5	5	4	11/8	11/8	4/2	2	1	1/8	1/8	1		5	59	B3	3	43
38	1.0	5	4	3/2	3/2	4/2	17	1	1/4	1/4	1		3	45	A2	2	51
38	1.0	5	4	3/2	3/2	4/2	2	1	1/4	1/4	1		0	60	C4	4	44
39	1.0	5	4	7/4	7/4	4/2	17	1	1/4	1/4	1		5	47	B2	2	52
39	1.0	5	4	7/4	7/4	4/2	2	1	1/4	1/4	1		2	62	D4	4	45
40	4.0	6	5	0	0	4/2	17	1	1	1	1		0	48	C3	3	60
40	2.0	6	5	0	0	4/2	2	1	1/2	1/2	1		4	64	E4	4	53
42	1.0	6	5	1/2	1/2	4/2	2	1	1/4	1/4	1		4	64	E4	4	54
43	1.0	6	5	3/4	3/4	4/2	2	1	1/4	1/4	1		4	64	E4	4	55
44	2.0	6	5	1	1	4/2	17	1	1/2	1/2	1		2	50	D3	3	61
44	1.5	6	5	1	1	4/2	2	1	3/8	1/4	3/2		-1	65	F4	4	56
91/2	0.5	6	5	11/8	11/8	4/2	2	1	1/8	1/8	1		2	62	D4	4	57
46	2.0	6	5	3/2	3/2	4/2	17	1	1/2	1/2	1		3	45	A2	2	62
46	1.0	6	5	3/2	3/2	4/2	2	1	1/4	1/4	1		4	64	E4	4	58
47	1.0	6	5	7/4	7/4	4/2	2	1	1/4	1/4	1		7	61	C#4	4	59
48	4.0	7	6	0	0	4/2	17	1	1	1	1		2	50	D3	3	71
48	2.0	7	6	0	0	4/2	2	1	1/2	1/2	1		2	62	D4	4	63
51	1.0	7	6	3/4	3/4	4/2	2	1	1/4	1/4	1		3	57	A3	3	64
52	2.0	7	6	1	1	4/2	17	1	1/2	1/2	1		1	43	G2	2	72
52	0.5	7	6	1	1	4/2	2	1	1/8	1/8	1		5	59	B3	3	65
105/2	0.5	7	6	9/8	9/8	4/2	2	1	1/8	1/8	1		0	60	C4	4	66
53	0.5	7	6	5/4	5/4	4/2	2	1	1/8	1/8	1		2	62	D4	4	67
107/2	0.5	7	6	11/8	11/8	4/2	2	1	1/8	1/8	1		5	59	B3	3	68
54	2.0	7	6	3/2	3/2	4/2	17	1	1/2	1/2	1		0	48	C3	3	73
54	1.0	7	6	3/2	3/2	4/2	2	1	1/4	1/4	1		0	60	C4	4	69
55	1.0	7	6	7/4	7/4	4/2	2	1	1/4	1/4	1	1	4	64	E4	4	70
56	2.0	8	7	0	0	4/2	17	1	1/2	1/2	1		3	45	A2	2	79
56	1.0	8	7	0	0	4/2	2	1	1/4	1/4	1	-1	4	64	E4	4	74
57	0.5	8	7	1/4	1/4	4/2	2	1	1/8	1/8	1		2	62	D4	4	75
115/2	0.5	8	7	3/8	3/8	4/2	2	1	1/8	1/8	1		0	60	C4	4	76
58	2.0	8	7	1/2	1/2	4/2	17	1	1/2	1/2	1		1	43	G2	2	80
58	2.0	8	7	1/2	1/2	4/2	2	1	1/2	1/2	1		2	62	D4	4	77
60	4.0	8	7	1	1	4/2	17	1	1	1	1		0	48	C3	3	81
60	4.0	8	7	1	1	4/2	2	1	1	1	1		0	60	C4	4	78
64	4.0	9	8	0	0	4/2	17	1	1	1	1	1	1	43	G2	2	93
64	1.5	9	8	0	0	4/2	6	1	3/8	1/4	3/2		2	74	D5	5	82
131/2	0.5	9	8	3/8	3/8	4/2	6	1	1/8	1/8	1		5	71	B4	4	83
66	1.0	9	8	1/2	1/2	4/2	6	1	1/4	1/4	1		2	74	D5	5	84
67	0.75	9	8	3/4	3/4	4/2	6	1	3/16	1/8	3/2		0	72	C5	5	85
271/4	0.25	9	8	15/16	15/16	4/2	6	1	1/16	1/16	1		5	71	B4	4	86
68	2.0	9	8	1	1	4/2	17	1	1/2	1/2	1	-1	1	43	G2	2	94
68	0.5	9	8	1	1	4/2	6	1	1/8	1/8	1		5	71	B4	4	87
137/2	0.5	9	8	9/8	9/8	4/2	6	1	1/8	1/8	1		2	74	D5	5	88
69	0.5	9	8	5/4	5/4	4/2	6	1	1/8	1/8	1		0	72	C5	5	89
139/2	0.5	9	8	11/8	11/8	4/2	6	1	1/8	1/8	1		5	71	B4	4	90
70	2.0	9	8	3/2	3/2	4/2	17	1	1/2	1/2	1		2	50	D3	3	95
70	1.0	9	8	3/2	3/2	4/2	6	1	1/4	1/4	1		3	69	A4	4	91
71	1.0	9	8	7/4	7/4	4/2	6	1	1/4	1/4	1		3	69	A4	4	92
72	4.0	10	9	0	0	4/2	17	1	1	1	1		2	50	D3	3	105
