mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
2	1	8	8.0	0	0	4/2	13	1	2	2	1		2	50	D3	3	6
2	1	8	3.0	0	0	4/2	1	1	3/4	1/2	3/2		3	69	A4	4	0
2	1	11	0.5	3/4	3/4	4/2	1	1	1/8	1/8	1		3	69	A4	4	1
2	1	23/2	0.5	7/8	7/8	4/2	1	1	1/8	1/8	1		3	69	A4	4	2
2	1	12	1.0	1	1	4/2	1	1	1/4	1/4	1		3	69	A4	4	3
2	1	13	1.0	5/4	5/4	4/2	1	1	1/4	1/4	1		3	69	A4	4	4
2	1	14	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1	1	3	69	A4	4	5
3	2	16	4.0	0	0	4/2	13	1	1	1	1		2	50	D3	3	14
3	2	16	2.0	0	0	4/2	1	1	1/2	1/2	1	-1	3	69	A4	4	7
3	2	18	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	A4	4	8
3	2	20	4.0	1	1	4/2	13	1	1	1	1		1	43	G2	2	15
3	2	20	1.0	1	1	4/2	1	1	1/4	1/4	1		1	67	G4	4	9
3	2	21	0.5	5/4	5/4	4/2	1	1	1/8	1/8	1		1	67	G4	4	10
3	2	43/2	0.5	11/8	11/8	4/2	1	1	1/8	1/8	1		1	67	G4	4	11
3	2	22	1.0	3/2	3/2	4/2	1	1	1/4	1/4	1		5	71	B4	4	12
3	2	23	1.0	7/4	7/4	4/2	1	1	1/4	1/4	1		5	71	B4	4	13
4	3	24	4.0	0	0	4/2	13	1	1	1	1		3	45	A2	2	23
4	3	49/2	0.5	1/8	1/8	4/2	1	1	1/8	1/8	1		4	64	E4	4	16
4	3	25	0.5	1/4	1/4	4/2	1	1	1/8	1/8	1		4	64	E4	4	17
4	3	51/2	0.5	3/8	3/8	4/2	1	1	1/8	1/8	1		4	64	E4	4	18
4	3	26	1.5	1/2	1/2	4/2	1	1	3/8	1/4	3/2		3	69	A4	4	19
4	3	55/2	0.5	7/8	7/8	4/2	1	1	1/8	1/8	1		4	64	E4	4	20
4	3	28	4.0	1	1	4/2	13	1	1	1	1		2	50	D3	3	24
4	3	28	2.0	1	1	4/2	1	1	1/2	1/2	1		6	66	F#4	4	21
4	3	30	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1		6	66	F#4	4	22
5	4	32	2.0	0	0	4/2	13	1	1/2	1/2	1		2	50	D3	3	30
5	4	33	1.0	1/4	1/4	4/2	1	1	1/4	1/4	1		3	69	A4	4	25
5	4	34	2.0	1/2	1/2	4/2	13	1	1/2	1/2	1		1	43	G2	2	31
5	4	34	1.0	1/2	1/2	4/2	1	1	1/4	1/4	1		5	71	B4	4	26
5	4	35	1.0	3/4	3/4	4/2	1	1	1/4	1/4	1		1	67	G4	4	27
5	4	36	4.0	1	1	4/2	13	1	1	1	1		2	50	D3	3	32
5	4	36	3.0	1	1	4/2	1	1	3/4	1/2	3/2		3	69	A4	4	28
5	4	39	1.0	7/4	7/4	4/2	1	1	1/4	1/4	1		6	66	F#4	4	29
6	5	40	2.0	0	0	4/2	13	1	1/2	1/2	1		1	43	G2	2	37
6	5	40	3.0	0	0	4/2	1	1	3/4	1/2	3/2		1	67	G4	4	33
6	5	42	2.0	1/2	1/2	4/2	13	1	1/2	1/2	1		2	50	D3	3	38
6	5	43	1.0	3/4	3/4	4/2	1	1	1/4	1/4	1		6	66	F#4	4	34
6	5	44	2.0	1	1	4/2	13	1	1/2	1/2	1		7	49	C#3	3	39
6	5	44	3.0	1	1	4/2	1	1	3/4	1/2	3/2		3	69	A4	4	35
6	5	46	2.0	3/2	3/2	4/2	13	1	1/2	1/2	1		2	50	D3	3	40
6	5	47	1.0	7/4	7/4	4/2	1	1	1/4	1/4	1		6	66	F#4	4	36
7	6	48	4.0	0	0	4/2	13	1	1	1	1		3	45	A2	2	43
7	6	48	4.0	0	0	4/2	1	1	1	1	1		4	64	E4	4	41
7	6	52	4.0	1	1	4/2	13	1	1	1	1	1	2	50	D3	3	44
7	6	52	4.0	1	1	4/2	1	1	1	1	1	1	2	62	D4	4	42
8	7	56	4.0	0	0	4/2	13	1	1	1	1	-1	2	50	D3	3	48
8	7	56	4.0	0	0	4/2	1	1	1	1	1	-1	2	62	D4	4	45
8	7	60	4.0	1	1	4/2	13	1	1	1	1	1	1	43	G2	2	49
8	7	61	1.0	5/4	5/4	4/2	2	1	1/4	1/4	1		1	55	G3	3	46
8	7	62	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		5	59	B3	3	47
