mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	4/2	2	1	F.I{		F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	0	11	0.0	0.0	6.0	0.0
3	2	1	1	4/2	2	1	IV		F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.25	0.0
3	2	3/2	3/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	1	1	0.5	0.25	0.5	0.3333333333333333
4	3	0	0	4/2	2	1	V(4)}		F	I		V(4)	V			4			}	M	0	0	0, -1, 1		0	0	0	2	0.0	0.0	1.5	0.0
4	3	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.25	0.0
4	3	3/4	3/4	4/2	2	1	V(^2)		F	I		V(^2)	V			^2				M	0	0	0, 2, 1		0	0	0	1	0.0	0.0	0.25	0.0
4	3	1	1	4/2	2	1	V|HC		F	I		V	V					HC		M	0	0	0, 4, 1		0	0	1	15	0.0625	0.125	7.75	0.015873015873015872
6	5	1	1	4/2	2	1	I|IAC		F	I		I	I					IAC		M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
7	6	0	0	4/2	2	1	IV{		F	I		IV	IV						{	M	0	0	-2, 2, -1		-2	-2	1	13	0.07142857142857142	0.125	7.625	0.016129032258064516
9	8	0	0	4/2	2	1	IV/IV	bVII	F	I		IV/IV	IV				IV			M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	3.25	0.0
9	8	3/2	3/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	1	1	0.5	0.25	0.5	0.3333333333333333
10	9	0	0	4/2	2	1	V(4)		F	I		V(4)	V			4				M	0	0	0, -1, 1		0	0	0	2	0.0	0.0	1.0	0.0
10	9	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.0	0.0
10	9	1	1	4/2	2	1	I		F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
10	9	3/2	3/2	4/2	2	1	I6		F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	1.0	0.0
11	10	0	0	4/2	2	1	IV		F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.25	0.0
11	10	1/2	1/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	1	1	0.5	0.25	0.5	0.3333333333333333
11	10	1	1	4/2	2	1	V		F	I		V	V							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	2.0	0.0
12	11	0	0	4/2	2	1	I|PAC}		F	I		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	2.5	0.0
12	11	3/2	3/2	4/2	2	1	I6{		F	I		I6	I		6				{	M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	1.0	0.0
13	12	0	0	4/2	2	1	IV		F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.0	0.0
13	12	1/2	1/2	4/2	2	1	ii		F	I		ii	ii							m	0	0	1, -2, 2		1	1	0	2	0.0	0.0	1.0	0.0
13	12	1	1	4/2	2	1	vi		F	I		vi	vi							m	0	0	2, -1, 3		2	2	3	3	0.5	0.75	1.25	0.375
14	13	0	0	4/2	2	1	I		F	I		I	I							M	0	0	-1, 3, 0		-1	-1	3	3	0.5	0.5	1.5	0.25
14	13	1	1	4/2	2	1	V		F	I		V	V							M	0	0	0, 4, 1		0	0	1	2	0.3333333333333333	0.25	0.75	0.25
14	13	3/2	3/2	4/2	2	1	I6		F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.875	0.125
15	14	0	0	4/2	2	1	V(4)}		F	I		V(4)	V			4			}	M	0	0	0, -1, 1		0	0	0	2	0.0	0.0	1.5	0.0
15	14	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.5	0.0
15	14	1	1	4/2	2	1	I|PAC		F	I		I	I					PAC		M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	2.0	0.0
