mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	4/2	13	1	D.I{		D	I		I	I						{	M	0	0	2, 6, 3		2	2	0	10	0.0	0.0	6.0	0.0
3	2	1	1	4/2	13	1	IV		D	I		IV	IV							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	2.0	0.0
4	3	0	0	4/2	13	1	V}		D	I		V	V						}	M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	1.875	0.0
4	3	1	1	4/2	13	1	I|IAC		D	I		I	I					IAC		M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	2.75	0.0
5	4	1/2	1/2	4/2	13	1	IV		D	I		IV	IV							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	1.0	0.0
5	4	1	1	4/2	13	1	I		D	I		I	I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	2.0	0.0
6	5	0	0	4/2	13	1	IV		D	I		IV	IV							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	1.25	0.0
6	5	1/2	1/2	4/2	13	1	I		D	I		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.75	0.0
6	5	1	1	4/2	13	1	V6		D	I		V6	V		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	1.25	0.0
6	5	3/2	3/2	4/2	13	1	I		D	I		I	I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.75	0.0
7	6	0	0	4/2	13	1	V(4)}		D	I		V(4)	V			4			}	M	0	0	3, 2, 4		3	3	0	2	0.0	0.0	2.0	0.0
7	6	1/2	1/2	4/2	13	1	V		D	I		V	V							M	0	0	3, 7, 4		3	3						
7	6	1	1	4/2	13	1	I|PAC		D	I		I	I					PAC		M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	4.0	0.0
8	7	1	1	4/2	13	1	IV.I{		D	IV		I	I						{	M	0	0	1, 5, 2		1	1	5	16	0.23809523809523808	1.0	8.375	0.10666666666666667
11	10	0	0	4/2	13	1	V		D	IV		V	V							M	0	0	2, 6, 3		2	2	2	8	0.2	0.25	2.625	0.08695652173913043
11	10	3/2	3/2	4/2	13	1	vi		D	IV		vi	vi							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.875	0.0
11	10	7/4	7/4	4/2	13	1	viio6/V		D	IV		viio6/V	vii	o	6		V			o	0	0	4, 1, 7		7	4	1	0	1.0	0.125	0.0	1.0
12	11	0	0	4/2	13	1	V|HC}		D	IV		V	V					HC	}	M	0	0	2, 6, 3		2	2	0	7	0.0	0.0	3.75	0.0
13	12	0	0	4/2	13	1	I		D	IV		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	2.0	0.0
13	12	1	1	4/2	13	1	iv		D	IV		iv	iv							m	0	0	0, -3, 1		0	0	1	4	0.2	0.125	1.625	0.07142857142857142
14	13	0	0	4/2	13	1	i		D	IV		i	i							m	0	0	1, -2, 2		1	1	1	5	0.16666666666666666	0.125	1.875	0.0625
14	13	1	1	4/2	13	1	V		D	IV		V	V							M	0	0	2, 6, 3		2	2	2	3	0.4	0.25	1.75	0.125
15	14	0	0	4/2	13	1	I|PAC}		D	IV		I	I					PAC	}	M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	2.0	0.0
15	14	1	1	4/2	13	1	bIII.V{		D	bIII		V	V						{	M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	3.75	0.0
16	15	1	1	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
17	16	0	0	4/2	13	1	IV		D	bIII		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	2.0	0.0
17	16	1	1	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	1.875	0.0625
18	17	0	0	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	3.0	0.0
18	17	3/2	3/2	4/2	13	1	ii		D	bIII		ii	ii							m	0	0	1, -2, 2		1	1	0	3	0.0	0.0	1.0	0.0
19	18	0	0	4/2	13	1	V/ii		D	bIII		V/ii	V				ii			M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	1.0	0.0
19	18	1/2	1/2	4/2	13	1	i6/ii		D	bIII		i6/ii	i		6		ii			m	0	0	-2, 2, 1		1	-2	0	3	0.0	0.0	1.0	0.0
19	18	1	1	4/2	13	1	iio6/ii		D	bIII		iio6/ii	ii	o	6		ii			o	0	0	0, -3, 3		3	0	1	2	0.3333333333333333	0.25	0.75	0.25
19	18	3/2	3/2	4/2	13	1	V(4)/ii		D	bIII		V(4)/ii	V			4	ii			M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	1.0	0.0
19	18	7/4	7/4	4/2	13	1	V/ii		D	bIII		V/ii	V				ii			M	0	0	2, 6, 3		2	2						
20	19	0	0	4/2	13	1	I/ii|PAC}		D	bIII		I/ii	I				ii	PAC	}	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	2.0	0.0
20	19	1	1	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	2.0	0.0
21	20	0	0	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	2.0	0.0
21	20	1	1	4/2	13	1	IV/IV		D	bIII		IV/IV	IV				IV			M	0	0	-3, 1, -2		-3	-3	0	12	0.0	0.0	5.5	0.0
22	21	3/2	3/2	4/2	13	1	ii6/IV		D	bIII		ii6/IV	ii		6		IV			m	0	0	-3, 1, 0		0	-3	0	2	0.0	0.0	0.5	0.0
23	22	0	0	4/2	13	1	V/IV		D	bIII		V/IV	V				IV			M	0	0	-1, 3, 0		-1	-1	0	13	0.0	0.0	6.75	0.0
24	23	3/2	3/2	4/2	13	1	I6(7)/IV		D	bIII		I6(7)/IV	I		6	7	IV			M	0	0	2, -1, 3		-2	2	0	2	0.0	0.0	0.75	0.0
24	23	7/4	7/4	4/2	13	1	I6/IV		D	bIII		I6/IV	I		6		IV			M	0	0	2, -1, -2		-2	2	0	1	0.0	0.0	0.125	0.0
25	24	0	0	4/2	13	1	V6/V/IV		D	bIII		V6/V/IV	V		6		V/IV			M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	1.25	0.0
25	24	1/2	1/2	4/2	13	1	V/IV		D	bIII		V/IV	V				IV			M	0	0	-1, 3, 0		-1	-1	1	1	0.5	0.25	0.5	0.3333333333333333
25	24	1	1	4/2	13	1	I/IV		D	bIII		I/IV	I				IV			M	0	0	-2, 2, -1		-2	-2	1	6	0.14285714285714285	0.125	2.875	0.041666666666666664
26	25	1/2	1/2	4/2	13	1	V(6)		D	bIII		V(6)	V			6				M	0	0	0, 4, 3		0	0	0	2	0.0	0.0	0.875	0.0
26	25	3/4	3/4	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.125	0.0
26	25	1	1	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
27	26	0	0	4/2	13	1	IV		D	bIII		IV	IV							M	0	0	-2, 2, -1		-2	-2	2	3	0.4	0.375	1.625	0.1875
27	26	1	1	4/2	13	1	V/ii		D	bIII		V/ii	V				ii			M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.75	0.0
27	26	9/8	9/8	4/2	13	1	V(64)/ii		D	bIII		V(64)/ii	V			64	ii			M	0	0	2, 1, -2		2	2	0	1	0.0	0.0	0.25	0.0
27	26	3/2	3/2	4/2	13	1	V(4)/ii		D	bIII		V(4)/ii	V			4	ii			M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	1.0	0.0
27	26	13/8	13/8	4/2	13	1	V/ii		D	bIII		V/ii	V				ii			M	0	0	2, 6, 3		2	2						
28	27	0	0	4/2	13	1	I/ii|PAC}		D	bIII		I/ii	I				ii	PAC	}	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	4.0	0.0
29	28	0	0	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	2.0	0.0
29	28	1	1	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	2.0	0.0
30	29	0	0	4/2	13	1	I6		D	bIII		I6	I		6					M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	1.25	0.0
30	29	1/2	1/2	4/2	13	1	IV		D	bIII		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	1	0.0	0.0	0.5	0.0
30	29	3/4	3/4	4/2	13	1	ii6		D	bIII		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	0	1	0.0	0.0	0.25	0.0
30	29	1	1	4/2	13	1	V(4)		D	bIII		V(4)	V			4				M	0	0	0, -1, 1		0	0	0	2	0.0	0.0	2.0	0.0
30	29	3/2	3/2	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0						
31	30	0	0	4/2	13	1	I|PAC}		D	bIII		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	6.0	0.0
32	31	1	1	4/2	13	1	IV		D	bIII		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.25	0.0
32	31	3/2	3/2	4/2	13	1	ii		D	bIII		ii	ii							m	0	0	1, -2, 2		1	1	0	2	0.0	0.0	0.75	0.0
33	32	0	0	4/2	13	1	V/ii|HC}		D	bIII		V/ii	V				ii	HC	}	M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	2.0	0.0
33	32	1	1	4/2	13	1	I/V{		D	bIII		I/V	I				V		{	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.5	0.0
34	33	0	0	4/2	13	1	V/V		D	bIII		V/V	V				V			M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	2.0	0.0
34	33	1	1	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	1.25	0.0
34	33	3/2	3/2	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.75	0.0
35	34	0	0	4/2	13	1	IV/IV		D	bIII		IV/IV	IV				IV			M	0	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	1.0	0.0
35	34	1/2	1/2	4/2	13	1	V/IV		D	bIII		V/IV	V				IV			M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.0	0.0
35	34	1	1	4/2	13	1	V/V/IV		D	bIII		V/V/IV	V				V/IV			M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	3.25	0.0
36	35	1/2	1/2	4/2	13	1	V/IV		D	bIII		V/IV	V				IV			M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.75	0.0
36	35	1	1	4/2	13	1	I/IV		D	bIII		I/IV	I				IV			M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	2.0	0.0
37	36	0	0	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
37	36	1/2	1/2	4/2	13	1	I		D	bIII		I	I							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
37	36	1	1	4/2	13	1	V(4)		D	bIII		V(4)	V			4				M	0	0	0, -1, 1		0	0	0	2	0.0	0.0	2.0	0.0
37	36	3/2	3/2	4/2	13	1	V		D	bIII		V	V							M	0	0	0, 4, 1		0	0						
38	37	0	0	4/2	13	1	I|PAC}		D	bIII		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	4.0	0.0
39	38	0	0	4/2	13	1	iv.i{		D	iv		i	i						{	m	0	1	1, -2, 2		1	1	1	8	0.1111111111111111	0.25	6.25	0.038461538461538464
40	39	1	1	4/2	13	1	i(+7)		D	iv		i(+7)	i			+7				m	0	1	1, -2, 2	-1	1	1	1	2	0.3333333333333333	0.125	0.875	0.125
41	40	0	0	4/2	13	1	i		D	iv		i	i							m	0	1	1, -2, 2		1	1	3	18	0.14285714285714285	0.375	9.125	0.039473684210526314
43	42	1	1	4/2	13	1	V43		D	iv		V43	V		43					Mm7	0	1	3, 0, 2, 6		2	3	0	3	0.0	0.0	1.0	0.0
43	42	3/2	3/2	4/2	13	1	I		D	iv		I	I							M	0	1	1, 5, 2		1	1	0	5	0.0	0.0	3.0	0.0
44	43	1	1	4/2	13	1	i{		D	iv		i	i						{	m	0	1	1, -2, 2		1	1	1	6	0.14285714285714285	0.25	2.5	0.09090909090909091
45	44	1/2	1/2	4/2	13	1	#viio6		D	iv		#viio6	#vii	o	6					o	0	1	3, 0, 6		6	3	0	2	0.0	0.0	1.0	0.0
45	44	1	1	4/2	13	1	i(94)		D	iv		i(94)	i			94				m	0	1	1, 0, 2	3	1	1	0	3	0.0	0.0	1.0	0.0
45	44	3/2	3/2	4/2	13	1	i		D	iv		i	i							m	0	1	1, -2, 2		1	1	2	13	0.13333333333333333	0.25	4.125	0.05714285714285714
