mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	20	1	G.V{	G	I		V	V						{	M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	3.75	0.0
2	2	0	0	4/2	20	1	I	G	I		I	I							M	0	0	1, 5, 2		1	1	5	9	0.35714285714285715	0.75	5.125	0.1276595744680851
3	3	1	1	4/2	20	1	IV	G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	2.0	0.0
4	4	0	0	4/2	20	1	IV/IV}	G	I		IV/IV	IV				IV		}	M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.5	0.0
4	4	3/4	3/4	4/2	20	1	V/IV	G	I		V/IV	V				IV			M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
4	4	1	1	4/2	20	1	I/IV|IAC	G	I		I/IV	I				IV	IAC		M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	2.0	0.0
5	5	0	0	4/2	20	1	IV.I{	G	IV		I	I						{	M	0	0	0, 4, 1		0	0	0	15	0.0	0.0	5.75	0.0
6	6	1	1	4/2	20	1	IV	G	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	1.5	0.0
6	6	3/2	3/2	4/2	20	1	ii6	G	IV		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
7	7	0	0	4/2	20	1	V7}	G	IV		V7	V		7				}	Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.75	0.0
7	7	1/4	1/4	4/2	20	1	V(64)	G	IV		V(64)	V			64				M	0	0	1, 0, 4		1	1	0	1	0.0	0.0	0.25	0.0
7	7	1/2	1/2	4/2	20	1	V(4)	G	IV		V(4)	V			4				M	0	0	1, 0, 2		1	1	0	2	0.0	0.0	1.0	0.0
7	7	3/4	3/4	4/2	20	1	V	G	IV		V	V							M	0	0	1, 5, 2		1	1						
