mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	4/2	21	1	G.I{		G	I		I	I						{	M	0	0	1, 5, 2		1	1	2	10	0.16666666666666666	0.25	3.75	0.0625
3	2	0	0	4/2	21	1	IV}		G	I		IV	IV						}	M	0	0	0, 4, 1		0	0	2	3	0.4	0.25	1.25	0.16666666666666666
3	2	3/4	3/4	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	4, 1, 7		7	4	1	2	0.3333333333333333	0.125	0.375	0.25
3	2	1	1	4/2	21	1	V|HC		G	I		V	V					HC		M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	2.0	0.0
4	3	0	0	4/2	21	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	3	14	0.17647058823529413	0.375	5.625	0.0625
5	4	1	1	4/2	21	1	V/V		G	I		V/V	V				V			M	0	0	3, 7, 4		3	3	2	3	0.4	0.625	1.375	0.3125
6	5	0	0	4/2	21	1	I/V|PAC}		G	I		I/V	I				V	PAC	}	M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	1.75	0.0
6	5	1	1	4/2	21	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	1	12	0.07692307692307693	0.125	5.75	0.02127659574468085
8	7	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	3	5	0.375	0.375	1.625	0.1875
8	7	1	1	4/2	21	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	1	3	0.25	0.25	1.75	0.125
9	8	0	0	4/2	21	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	1, 5, 2		1	1	2	6	0.25	0.25	3.5	0.06666666666666667
10	9	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
10	9	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	1	3	0.25	0.125	0.875	0.125
10	9	1	1	4/2	21	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	2.0	0.0
11	10	0	0	4/2	21	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	1	4	0.2	0.125	0.875	0.125
11	10	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
11	10	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
11	10	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.625	0.0
11	10	5/4	5/4	4/2	21	1	ii		G	I		ii	ii							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.375	0.0
11	10	3/2	3/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	1.0	0.0
12	11	0	0	4/2	21	1	I/ii|PAC}		G	I		I/ii	I				ii	PAC	}	M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	2.0	0.0
12	11	1	1	4/2	21	1	V{		G	I		V	V						{	M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	2.0	0.0
13	12	0	0	4/2	21	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	1	10	0.09090909090909091	0.125	4.875	0.025
14	13	1/2	1/2	4/2	21	1	IV6		G	I		IV6	IV		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.125	0.875	0.125
