mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	4/2	21	1	G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	0	0	4/2	21	1	IV}		G	I		IV	IV						}	M	0	0	-1, 3, 0		-1	-1
3	2	3/4	3/4	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
3	2	1	1	4/2	21	1	V|HC		G	I		V	V					HC		M	0	0	1, 5, 2		1	1
3	2	7/4	7/4	4/2	21	1	{		G	I									{		0	0				
4	3	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	4	1	1	4/2	21	1	V/V		G	I		V/V	V				V			M	0	0	2, 6, 3		2	2
6	5	0	0	4/2	21	1	I/V|PAC}		G	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
6	5	3/4	3/4	4/2	21	1	{		G	I									{		0	0				
6	5	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	7	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
9	8	0	0	4/2	21	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	8	1	1	4/2	21	1	{		G	I									{		0	0				
10	9	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
10	9	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	10	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	10	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	10	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	10	5/4	5/4	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	10	3/2	3/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
12	11	0	0	4/2	21	1	I/ii|PAC}		G	I		I/ii	I				ii	PAC	}	M	0	0	2, 6, 3		2	2
12	11	1	1	4/2	21	1	V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
13	12	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
14	13	1/2	1/2	4/2	21	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	13	1	1	4/2	21	1	V(4)/IV		G	I		V(4)/IV	V			4	IV			M	0	0	0, -1, 1		0	0
