mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	4/2	17	1		C.I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
3	2	1	1	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	2	3/2	3/2	4/2	17	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	7/4	7/4	4/2	17	1		ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	0	0	4/2	17	1		V|HC}		C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
4	3	1/2	1/2	4/2	17	1		{		C	I									{		0	0				
4	3	1	1	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
4	3	3/2	3/2	4/2	17	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	0	0	4/2	17	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	1/4	1/4	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
5	4	1	1	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
5	4	3/2	3/2	4/2	17	1		IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
5	4	7/4	7/4	4/2	17	1		V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	0	0	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
6	5	1	1	4/2	17	1		ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
6	5	3/2	3/2	4/2	17	1		V/ii		C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
7	6	0	0	4/2	17	1		I/ii|PAC}		C	I		I/ii	I				ii	PAC	}	M	0	0	2, 6, 3		2	2
7	6	3/4	3/4	4/2	17	1		{		C	I									{		0	0				
7	6	1	1	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
7	6	3/2	3/2	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
8	7	0	0	4/2	17	1		viio6/V}		C	I		viio6/V	vii	o	6		V		}	o	0	0	3, 0, 6		6	3
8	7	1/2	1/2	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
8	7	1	1	4/2	17	1		I|PAC		C	I		I	I					PAC		M	0	0	0, 4, 1		0	0
9	8	0	0	4/2	17	1		I/V{		C	I		I/V	I				V		{	M	0	0	1, 5, 2		1	1
9	8	3/2	3/2	4/2	17	1		V/V		C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
10	9	1	1	4/2	17	1		I/V		C	I		I/V	I				V			M	0	0	1, 5, 2		1	1
10	9	3/2	3/2	4/2	17	1		V/V		C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
11	10	0	0	4/2	17	1		ii/V		C	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
11	10	1/2	1/2	4/2	17	1		vi/V		C	I		vi/V	vi				V			m	0	0	4, 1, 5		4	4
11	10	1	1	4/2	17	1		I6/V		C	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
11	10	3/2	3/2	4/2	17	1		V(4)/V		C	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
11	10	7/4	7/4	4/2	17	1		V/V		C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
12	11	0	0	4/2	17	1		I/V|PAC}		C	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
12	11	1	1	4/2	17	1		I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
13	12	3/4	3/4	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
13	12	1	1	4/2	17	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
14	13	0	0	4/2	17	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	13	1/4	1/4	4/2	17	1		IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	13	1/2	1/2	4/2	17	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
14	13	1	1	4/2	17	1		V/ii		C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
14	13	5/4	5/4	4/2	17	1		ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
14	13	3/2	3/2	4/2	17	1		V/ii		C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
