mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	14.0	0	0	2/2	21	1	G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	12	12	0.0	0	0	4/2	21	1	}		G	I									}		0	0				
3	3	14	14	2.0	1/2	1/2	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
3	3	16	16	4.0	1	1	4/2	21	1	V|HC		G	I		V	V					HC		M	0	0	1, 5, 2		1	1
4	4	20	20	2.0	0	0	4/2	21	1	I6{		G	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
4	4	22	22	1.0	1/2	1/2	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	23	23	1.0	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	24	24	4.0	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	28	28	2.0	0	0	4/2	21	1	IV}		G	I		IV	IV						}	M	0	0	-1, 3, 0		-1	-1
5	5	30	30	2.0	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	32	32	4.0	1	1	4/2	21	1	I|IAC		G	I		I	I					IAC		M	0	0	0, 4, 1		0	0
6	6	36	36	8.0	0	0	4/2	21	1	bVII{		G	I		bVII	bVII						{	M	0	0	-2, 2, -1		-2	-2
7	7	44	44	3.0	0	0	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	47	47	1.0	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	48	48	2.0	1	1	4/2	21	1	IV	ii6	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	7	50	50	2.0	3/2	3/2	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
8	8	52	52	2.0	0	0	4/2	21	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
8	8	54	54	2.0	1/2	1/2	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	56	56	1.0	1	1	4/2	21	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8	57	57	1.0	5/4	5/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	58	58	6.0	3/2	3/2	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
9	9	60	60	0.0	0	0	4/2	21	1	{		G	I									{		0	0				
9	9	64	64	8.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
10	10	72	72	4.0	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	76	76	1.0	0	0	4/2	21	1	V(^4)}		G	I		V(^4)	V			^4			}	M	0	0	1, 5, 0		1	1
11	11	77	77	1.0	1/4	1/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	11	78	78	1.0	1/2	1/2	4/2	21	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
11	11	79	79	1.0	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	11	80	80	24.0	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
12	12	84	84	0.0	0	0	4/2	21	1	{		G	I									{		0	0				
14	14	104	104	4.0	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
15	15	108	108	1.0	0	0	4/2	21	1	V/ii}		G	I		V/ii	V				ii		}	M	0	0	3, 7, 4		3	3
15	15	109	109	1.0	1/4	1/4	4/2	21	1	V(64)/ii		G	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
15	15	110	110	1.0	1/2	1/2	4/2	21	1	V(4)/ii		G	I		V(4)/ii	V			4	ii			M	0	0	3, 2, 4		3	3
15	15	111	111	1.0	3/4	3/4	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
15	15	112	112	4.0	1	1	4/2	21	1	I/ii|PAC		G	I		I/ii	I				ii	PAC		M	0	0	2, 6, 3		2	2
16	16	116	116	4.0	0	0	4/2	21	1	V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
16	16	120	120	12.0	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
18	18	132	132	4.0	0	0	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	136	136	4.0	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	19	140	140	2.0	0	0	4/2	21	1	iv6/ii		G	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
19	19	142	142	2.0	1/2	1/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
19	19	144	144	1.0	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	19	145	145	1.0	5/4	5/4	4/2	21	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	146	146	2.0	3/2	3/2	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
20	20	148	148	2.0	0	0	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
20	20	150	150	2.0	1/2	1/2	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	152	152	2.0	1	1	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
20	20	154	154	2.0	3/2	3/2	4/2	21	1	V6/V		G	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
21	21	156	156	1.0	0	0	4/2	21	1	V}		G	I		V	V						}	M	0	0	1, 5, 2		1	1
21	21	157	157	2.0	1/4	1/4	4/2	21	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
21	21	159	159	1.0	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
21	21	160	160	8.0	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
22	22	164	164	0.0	0	0	4/2	21	1	{		G	I									{		0	0				
22	22	168	168	4.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
23	23	172	172	2.0	0	0	4/2	21	1	ii}		G	I		ii	ii						}	m	0	0	2, -1, 3		2	2
23	23	174	174	2.0	1/2	1/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
23	23	176	176	4.0	1	1	4/2	21	1	I/ii|PAC		G	I		I/ii	I				ii	PAC		M	0	0	2, 6, 3		2	2
24	24	180	180	2.0	0	0	4/2	21	1	V/V{		G	I		V/V	V				V		{	M	0	0	2, 6, 3		2	2
24	24	182	182	2.0	1/2	1/2	4/2	21	1	V7/V		G	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
24	24	184	184	4.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
25	25	188	188	2.0	0	0	4/2	21	1	i		G	I		i	i							m	0	0	0, -3, 1		0	0
25	25	190	190	6.0	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
26	26	196	196	4.0	0	0	4/2	21	1	I|IAC}		G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
26	26	198	198	0.0	1/2	1/2	4/2	21	1	{		G	I									{		0	0				
26	26	200	200	2.0	1	1	4/2	21	1	V6/bVII		G	I		V6/bVII	V		6		bVII			M	0	0	3, 0, -1		-1	3
26	26	202	202	6.0	3/2	3/2	4/2	21	1	I/bVII		G	I		I/bVII	I				bVII			M	0	0	-2, 2, -1		-2	-2
27	27	208	208	4.0	1	1	4/2	21	1	v/bVII		G	I		v/bVII	v				bVII			m	0	0	-1, -4, 0		-1	-1
28	28	212	212	3.0	0	0	4/2	21	1	bVII/bVII		G	I		bVII/bVII	bVII				bVII			M	0	0	-4, 0, -3		-4	-4
28	28	215	215	1.0	3/4	3/4	4/2	21	1	I/bVII		G	I		I/bVII	I				bVII			M	0	0	-2, 2, -1		-2	-2
28	28	216	216	1.0	1	1	4/2	21	1	V/bVII		G	I		V/bVII	V				bVII			M	0	0	-1, 3, 0		-1	-1
28	28	217	217	1.0	5/4	5/4	4/2	21	1	V(64)/bVII		G	I		V(64)/bVII	V			64	bVII			M	0	0	-1, -2, 2		-1	-1
28	28	218	218	2.0	3/2	3/2	4/2	21	1	V/bVII		G	I		V/bVII	V				bVII			M	0	0	-1, 3, 0		-1	-1
29	29	220	220	4.0	0	0	4/2	21	1	I/bVII|PAC}		G	I		I/bVII	I				bVII	PAC	}	M	0	0	-2, 2, -1		-2	-2
29	29	224	224	16.0	1	1	4/2	21	1	I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
31	31	240	240	4.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
32	32	244	244	2.0	0	0	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
32	32	246	246	1.0	1/2	1/2	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
32	32	247	247	1.0	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	248	248	2.0	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
32	32	250	250	2.0	3/2	3/2	4/2	21	1	viio6/V	V43/V	G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
33	33	252	252	4.0	0	0	4/2	21	1	V}		G	I		V	V						}	M	0	0	1, 5, 2		1	1
33	33	256	256	4.0	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
34	34	260	260	4.0	0	0	4/2	21	1	I/bIII{		G	I		I/bIII	I				bIII		{	M	0	0	-3, 1, -2		-3	-3
34	34	264	264	1.0	1	1	4/2	21	1	IV(9)/bIII		G	I		IV(9)/bIII	IV			9	bIII			M	0	0	-4, 0, -3	-2	-4	-4
34	34	265	265	1.0	5/4	5/4	4/2	21	1	IV/bIII		G	I		IV/bIII	IV				bIII			M	0	0	-4, 0, -3		-4	-4
34	34	266	266	2.0	3/2	3/2	4/2	21	1	V/bIII		G	I		V/bIII	V				bIII			M	0	0	-2, 2, -1		-2	-2
35	35	268	268	3.0	0	0	4/2	21	1	I/bIII		G	I		I/bIII	I				bIII			M	0	0	-3, 1, -2		-3	-3
35	35	271	271	0.5	3/4	3/4	4/2	21	1	IV/bIII		G	I		IV/bIII	IV				bIII			M	0	0	-4, 0, -3		-4	-4
35	35	543/2	543/2	0.5	7/8	7/8	4/2	21	1	V/bIII		G	I		V/bIII	V				bIII			M	0	0	-2, 2, -1		-2	-2
35	35	272	272	2.0	1	1	4/2	21	1	I/bIII		G	I		I/bIII	I				bIII			M	0	0	-3, 1, -2		-3	-3
35	35	274	274	2.0	3/2	3/2	4/2	21	1	V/bIII|HC		G	I		V/bIII	V				bIII	HC		M	0	0	-2, 2, -1		-2	-2
36	36	276	276	3.0	0	0	4/2	21	1	IV/IV		G	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
36	36	279	279	1.0	3/4	3/4	4/2	21	1	V7/IV		G	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
36	36	280	280	6.0	1	1	4/2	21	1	I/IV|PAC}		G	I		I/IV	I				IV	PAC	}	M	0	0	-1, 3, 0		-1	-1
37	37	284	284	0.0	0	0	4/2	21	1	{		G	I									{		0	0				
37	37	286	286	2.0	1/2	1/2	4/2	21	1	III6/v		G	I		III6/v	III		6		v			M	0	0	2, -1, -2		-2	2
37	37	288	288	2.0	1	1	4/2	21	1	VI/v		G	I		VI/v	VI				v			M	0	0	-3, 1, -2		-3	-3
37	37	290	290	2.0	3/2	3/2	4/2	21	1	iv6/v		G	I		iv6/v	iv		6		v			m	0	0	-3, 1, 0		0	-3
38	38	292	292	1.0	0	0	4/2	21	1	V7/v}		G	I		V7/v	V		7		v		}	Mm7	0	0	2, 6, 3, 0		2	2
38	38	293	293	1.0	1/4	1/4	4/2	21	1	V(64)/v		G	I		V(64)/v	V			64	v			M	0	0	2, 1, -2		2	2
38	38	294	294	1.0	1/2	1/2	4/2	21	1	V(4)/v		G	I		V(4)/v	V			4	v			M	0	0	2, 1, 3		2	2
38	38	295	295	1.0	3/4	3/4	4/2	21	1	V/v		G	I		V/v	V				v			M	0	0	2, 6, 3		2	2
38	38	296	296	4.0	1	1	4/2	21	1	I/v|PAC		G	I		I/v	I				v	PAC		M	0	0	1, 5, 2		1	1
39	39	300	300	4.0	0	0	4/2	21	1	i/i{		G	I		i/i	i				i		{	m	0	0	0, -3, 1		0	0
39	39	304	304	8.0	1	1	4/2	21	1	V/i|HC}		G	I		V/i	V				i	HC	}	M	0	0	1, 5, 2		1	1
39	39	307	307	0.0	7/4	7/4	4/2	21	1	{		G	I									{		0	0				
40	40	312	312	3.0	1	1	4/2	21	1	VI/i		G	I		VI/i	VI				i			M	0	0	-4, 0, -3		-4	-4
