mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	4/2	13	1		D.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	1	1	4/2	13	1		IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	0	0	4/2	13	1		V}		D	I		V	V						}	M	0	0	1, 5, 2		1	1
4	3	1	1	4/2	13	1		I|IAC		D	I		I	I					IAC		M	0	0	0, 4, 1		0	0
5	4	0	0	4/2	13	1		{		D	I									{		0	0				
5	4	1/2	1/2	4/2	13	1		IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	1	1	4/2	13	1		I		D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	4/2	13	1		IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	1/2	1/2	4/2	13	1		I		D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	1	1	4/2	13	1		V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	3/2	3/2	4/2	13	1		I		D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	0	0	4/2	13	1		V(4)}		D	I		V(4)	V			4			}	M	0	0	1, 0, 2		1	1
7	6	1/2	1/2	4/2	13	1		V		D	I		V	V							M	0	0	1, 5, 2		1	1
7	6	1	1	4/2	13	1		I|PAC		D	I		I	I					PAC		M	0	0	0, 4, 1		0	0
8	7	1	1	4/2	13	1		IV.I{		D	IV		I	I						{	M	0	0	0, 4, 1		0	0
11	10	0	0	4/2	13	1		V		D	IV		V	V							M	0	0	1, 5, 2		1	1
11	10	3/2	3/2	4/2	13	1		vi		D	IV		vi	vi							m	0	0	3, 0, 4		3	3
11	10	7/4	7/4	4/2	13	1		viio6/V		D	IV		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
12	11	0	0	4/2	13	1		V|HC}		D	IV		V	V					HC	}	M	0	0	1, 5, 2		1	1
12	11	1	1	4/2	13	1		{		D	IV									{		0	0				
13	12	0	0	4/2	13	1		I		D	IV		I	I							M	0	0	0, 4, 1		0	0
13	12	1	1	4/2	13	1		iv		D	IV		iv	iv							m	0	0	-1, -4, 0		-1	-1
14	13	0	0	4/2	13	1		i		D	IV		i	i							m	0	0	0, -3, 1		0	0
14	13	1	1	4/2	13	1		V		D	IV		V	V							M	0	0	1, 5, 2		1	1
15	14	0	0	4/2	13	1		I|PAC}		D	IV		I	I					PAC	}	M	0	0	0, 4, 1		0	0
15	14	1	1	4/2	13	1		bIII.V{		D	bIII		V	V						{	M	0	0	1, 5, 2		1	1
16	15	1	1	4/2	13	1		I		D	bIII		I	I							M	0	0	0, 4, 1		0	0
17	16	0	0	4/2	13	1		IV		D	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	16	1	1	4/2	13	1		I		D	bIII		I	I							M	0	0	0, 4, 1		0	0
18	17	0	0	4/2	13	1		V		D	bIII		V	V							M	0	0	1, 5, 2		1	1
18	17	3/2	3/2	4/2	13	1		ii		D	bIII		ii	ii							m	0	0	2, -1, 3		2	2
19	18	0	0	4/2	13	1		V/ii		D	bIII		V/ii	V				ii			M	0	0	3, 7, 4		3	3
19	18	1/2	1/2	4/2	13	1		i6/ii		D	bIII		i6/ii	i		6		ii			m	0	0	-1, 3, 2		2	-1
19	18	1	1	4/2	13	1		iio6/ii		D	bIII		iio6/ii	ii	o	6		ii			o	0	0	1, -2, 4		4	1
19	18	3/2	3/2	4/2	13	1		V(4)/ii		D	bIII		V(4)/ii	V			4	ii			M	0	0	3, 2, 4		3	3
