mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	8	8	12.0	0	0	4/2	13	1	D.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	20	20	4.0	1	1	4/2	13	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	24	24	4.0	0	0	4/2	13	1	V}		D	I		V	V						}	M	0	0	1, 5, 2		1	1
4	3	28	28	6.0	1	1	4/2	13	1	I|IAC		D	I		I	I					IAC		M	0	0	0, 4, 1		0	0
5	4	32	32	0.0	0	0	4/2	13	1	{		D	I									{		0	0				
5	4	34	34	2.0	1/2	1/2	4/2	13	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	36	36	4.0	1	1	4/2	13	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	40	40	2.0	0	0	4/2	13	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	42	42	2.0	1/2	1/2	4/2	13	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	44	44	2.0	1	1	4/2	13	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	46	46	2.0	3/2	3/2	4/2	13	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	48	48	2.0	0	0	4/2	13	1	V(4)}		D	I		V(4)	V			4			}	M	0	0	1, 0, 2		1	1
7	6	50	50	2.0	1/2	1/2	4/2	13	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
7	6	52	52	8.0	1	1	4/2	13	1	I|PAC		D	I		I	I					PAC		M	0	0	0, 4, 1		0	0
8	7	60	60	20.0	1	1	4/2	13	1	IV.I{		D	IV		I	I						{	M	0	0	0, 4, 1		0	0
11	10	80	80	6.0	0	0	4/2	13	1	V		D	IV		V	V							M	0	0	1, 5, 2		1	1
11	10	86	86	1.0	3/2	3/2	4/2	13	1	vi		D	IV		vi	vi							m	0	0	3, 0, 4		3	3
11	10	87	87	1.0	7/4	7/4	4/2	13	1	viio6/V		D	IV		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
