mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	21	1	G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	0	0	4/2	21	1	}		G	I									}		0	0				
3	3	1/2	1/2	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
3	3	1	1	4/2	21	1	V|HC		G	I		V	V					HC		M	0	0	1, 5, 2		1	1
4	4	0	0	4/2	21	1	I6{		G	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
4	4	1/2	1/2	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	5	0	0	4/2	21	1	IV}		G	I		IV	IV						}	M	0	0	-1, 3, 0		-1	-1
5	5	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	1	1	4/2	21	1	I|IAC		G	I		I	I					IAC		M	0	0	0, 4, 1		0	0
6	6	0	0	4/2	21	1	bVII{		G	I		bVII	bVII						{	M	0	0	-2, 2, -1		-2	-2
7	7	0	0	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	1	1	4/2	21	1	IV	ii6	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	7	3/2	3/2	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
8	8	0	0	4/2	21	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
8	8	1/2	1/2	4/2	21	1	I6{		G	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
8	8	1	1	4/2	21	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8	5/4	5/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	3/2	3/2	4/2	21	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	0	0	4/2	21	1	{		G	I									{		0	0				
9	9	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
10	10	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	0	0	4/2	21	1	V(^4)}		G	I		V(^4)	V			^4			}	M	0	0	1, 5, 0		1	1
11	11	1/4	1/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	11	1/2	1/2	4/2	21	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
11	11	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	11	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
12	12	0	0	4/2	21	1	{		G	I									{		0	0				
14	14	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
15	15	0	0	4/2	21	1	V/ii}		G	I		V/ii	V				ii		}	M	0	0	3, 7, 4		3	3
15	15	1/4	1/4	4/2	21	1	V(64)/ii		G	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
15	15	1/2	1/2	4/2	21	1	V(4)/ii		G	I		V(4)/ii	V			4	ii			M	0	0	3, 2, 4		3	3
15	15	3/4	3/4	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
15	15	1	1	4/2	21	1	I/ii|PAC		G	I		I/ii	I				ii	PAC		M	0	0	2, 6, 3		2	2
16	16	0	0	4/2	21	1	V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
16	16	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
18	18	0	0	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	19	0	0	4/2	21	1	iv6/ii		G	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
19	19	1/2	1/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
19	19	1	1	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
19	19	5/4	5/4	4/2	21	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	3/2	3/2	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
20	20	0	0	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
20	20	1/2	1/2	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	1	1	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
20	20	3/2	3/2	4/2	21	1	V6/V		G	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
21	21	0	0	4/2	21	1	V}		G	I		V	V						}	M	0	0	1, 5, 2		1	1
21	21	1/4	1/4	4/2	21	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
21	21	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
21	21	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
22	22	0	0	4/2	21	1	{		G	I									{		0	0				
22	22	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
23	23	0	0	4/2	21	1	ii}		G	I		ii	ii						}	m	0	0	2, -1, 3		2	2
23	23	1/2	1/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
23	23	1	1	4/2	21	1	I/ii|PAC		G	I		I/ii	I				ii	PAC		M	0	0	2, 6, 3		2	2
24	24	0	0	4/2	21	1	V/V{		G	I		V/V	V				V		{	M	0	0	2, 6, 3		2	2
24	24	1/2	1/2	4/2	21	1	V7/V		G	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
24	24	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
25	25	0	0	4/2	21	1	i		G	I		i	i							m	0	0	0, -3, 1		0	0
25	25	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
26	26	0	0	4/2	21	1	I|IAC}		G	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
26	26	1/2	1/2	4/2	21	1	{		G	I									{		0	0				
26	26	1	1	4/2	21	1	V6/bVII		G	I		V6/bVII	V		6		bVII			M	0	0	3, 0, -1		-1	3
26	26	3/2	3/2	4/2	21	1	I/bVII		G	I		I/bVII	I				bVII			M	0	0	-2, 2, -1		-2	-2
27	27	1	1	4/2	21	1	v/bVII		G	I		v/bVII	v				bVII			m	0	0	-1, -4, 0		-1	-1
28	28	0	0	4/2	21	1	bVII/bVII		G	I		bVII/bVII	bVII				bVII			M	0	0	-4, 0, -3		-4	-4
28	28	3/4	3/4	4/2	21	1	I/bVII		G	I		I/bVII	I				bVII			M	0	0	-2, 2, -1		-2	-2
28	28	1	1	4/2	21	1	V/bVII		G	I		V/bVII	V				bVII			M	0	0	-1, 3, 0		-1	-1
28	28	5/4	5/4	4/2	21	1	V(64)/bVII		G	I		V(64)/bVII	V			64	bVII			M	0	0	-1, -2, 2		-1	-1
28	28	3/2	3/2	4/2	21	1	V/bVII		G	I		V/bVII	V				bVII			M	0	0	-1, 3, 0		-1	-1
29	29	0	0	4/2	21	1	I/bVII|PAC}		G	I		I/bVII	I				bVII	PAC	}	M	0	0	-2, 2, -1		-2	-2
29	29	1	1	4/2	21	1	I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
31	31	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
32	32	0	0	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
32	32	1/2	1/2	4/2	21	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
32	32	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	32	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
32	32	3/2	3/2	4/2	21	1	viio6/V	V43/V	G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
33	33	0	0	4/2	21	1	V}		G	I		V	V						}	M	0	0	1, 5, 2		1	1
33	33	1	1	4/2	21	1	I|PAC		G	I		I	I					PAC		M	0	0	0, 4, 1		0	0
34	34	0	0	4/2	21	1	I/bIII{		G	I		I/bIII	I				bIII		{	M	0	0	-3, 1, -2		-3	-3
34	34	1	1	4/2	21	1	IV(9)/bIII		G	I		IV(9)/bIII	IV			9	bIII			M	0	0	-4, 0, -3	-2	-4	-4
34	34	5/4	5/4	4/2	21	1	IV/bIII		G	I		IV/bIII	IV				bIII			M	0	0	-4, 0, -3		-4	-4
34	34	3/2	3/2	4/2	21	1	V/bIII		G	I		V/bIII	V				bIII			M	0	0	-2, 2, -1		-2	-2
35	35	0	0	4/2	21	1	I/bIII}		G	I		I/bIII	I				bIII		}	M	0	0	-3, 1, -2		-3	-3
35	35	3/4	3/4	4/2	21	1	IV/bIII		G	I		IV/bIII	IV				bIII			M	0	0	-4, 0, -3		-4	-4
35	35	7/8	7/8	4/2	21	1	V/bIII		G	I		V/bIII	V				bIII			M	0	0	-2, 2, -1		-2	-2
35	35	1	1	4/2	21	1	I/bIII		G	I		I/bIII	I				bIII			M	0	0	-3, 1, -2		-3	-3
35	35	3/2	3/2	4/2	21	1	V/bIII|HC		G	I		V/bIII	V				bIII	HC		M	0	0	-2, 2, -1		-2	-2
36	36	0	0	4/2	21	1	IV/IV{		G	I		IV/IV	IV				IV		{	M	0	0	-2, 2, -1		-2	-2
36	36	3/4	3/4	4/2	21	1	V7/IV		G	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
36	36	1	1	4/2	21	1	I/IV|PAC}		G	I		I/IV	I				IV	PAC	}	M	0	0	-1, 3, 0		-1	-1
37	37	0	0	4/2	21	1	{		G	I									{		0	0				
37	37	1/2	1/2	4/2	21	1	III6/v		G	I		III6/v	III		6		v			M	0	0	2, -1, -2		-2	2
37	37	1	1	4/2	21	1	VI/v		G	I		VI/v	VI				v			M	0	0	-3, 1, -2		-3	-3
37	37	3/2	3/2	4/2	21	1	iv6/v		G	I		iv6/v	iv		6		v			m	0	0	-3, 1, 0		0	-3
38	38	0	0	4/2	21	1	V7/v}		G	I		V7/v	V		7		v		}	Mm7	0	0	2, 6, 3, 0		2	2
38	38	1/4	1/4	4/2	21	1	V(64)/v		G	I		V(64)/v	V			64	v			M	0	0	2, 1, -2		2	2
38	38	1/2	1/2	4/2	21	1	V(4)/v		G	I		V(4)/v	V			4	v			M	0	0	2, 1, 3		2	2
38	38	3/4	3/4	4/2	21	1	V/v		G	I		V/v	V				v			M	0	0	2, 6, 3		2	2
38	38	1	1	4/2	21	1	I/v|PAC		G	I		I/v	I				v	PAC		M	0	0	1, 5, 2		1	1
39	39	0	0	4/2	21	1	i/i{		G	I		i/i	i				i		{	m	0	0	0, -3, 1		0	0
39	39	1	1	4/2	21	1	V/i|HC}		G	I		V/i	V				i	HC	}	M	0	0	1, 5, 2		1	1
39	39	7/4	7/4	4/2	21	1	{		G	I									{		0	0				
40	40	1	1	4/2	21	1	VI/i		G	I		VI/i	VI				i			M	0	0	-4, 0, -3		-4	-4
40	40	7/4	7/4	4/2	21	1	iv6/i		G	I		iv6/i	iv		6		i			m	0	0	-4, 0, -1		-1	-4
41	41	0	0	4/2	21	1	V/i		G	I		V/i	V				i			M	0	0	1, 5, 2		1	1
41	41	1	1	4/2	21	1	i6/i		G	I		i6/i	i		6		i			m	0	0	-3, 1, 0		0	-3
42	42	0	0	4/2	21	1	iv/i		G	I		iv/i	iv				i			m	0	0	-1, -4, 0		-1	-1
42	42	1	1	4/2	21	1	V/i		G	I		V/i	V				i			M	0	0	1, 5, 2		1	1
43	43	0	0	4/2	21	1	I/i|PAC}		G	I		I/i	I				i	PAC	}	M	0	0	0, 4, 1		0	0
43	43	1	1	4/2	21	1	V/IV{		G	I		V/IV	V				IV		{	M	0	0	0, 4, 1		0	0
44	44	0	0	4/2	21	1	I/IV		G	I		I/IV	I				IV			M	0	0	-1, 3, 0		-1	-1
46	46	0	0	4/2	21	1	IV/IV/IV		G	I		IV/IV/IV	IV				IV/IV			M	0	0	-3, 1, -2		-3	-3
46	46	1	1	4/2	21	1	ii6/IV/IV		G	I		ii6/IV/IV	ii		6		IV/IV			m	0	0	-3, 1, 0		0	-3
46	46	3/2	3/2	4/2	21	1	V/IV/IV		G	I		V/IV/IV	V				IV/IV			M	0	0	-1, 3, 0		-1	-1
47	47	0	0	4/2	21	1	iii/IV}		G	I		iii/IV	iii				IV		}	m	0	0	3, 0, 4		3	3
47	47	1/2	1/2	4/2	21	1	viio6/V/IV	V43/V/IV	G	I		viio6/V/IV	vii	o	6		V/IV			o	0	0	2, -1, 5		5	2
47	47	1	1	4/2	21	1	V/IV|HC}		G	I		V/IV	V				IV	HC	}	M	0	0	0, 4, 1		0	0
48	48	0	0	4/2	21	1	{		G	I									{		0	0				
48	48	1	1	4/2	21	1	I/IV		G	I		I/IV	I				IV			M	0	0	-1, 3, 0		-1	-1
49	49	0	0	4/2	21	1	I(9)/IV		G	I		I(9)/IV	I			9	IV			M	0	0	-1, 3, 0	1	-1	-1
49	49	1/2	1/2	4/2	21	1	I/IV		G	I		I/IV	I				IV			M	0	0	-1, 3, 0		-1	-1
50	50	0	0	4/2	21	1	bVII/IV		G	I		bVII/IV	bVII				IV			M	0	0	-3, 1, -2		-3	-3
50	50	3/2	3/2	4/2	21	1	iii/IV		G	I		iii/IV	iii				IV			m	0	0	3, 0, 4		3	3
51	51	0	0	4/2	21	1	V/IV		G	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
51	51	1/2	1/2	4/2	21	1	ii6/IV		G	I		ii6/IV	ii		6		IV			m	0	0	-2, 2, 1		1	-2
51	51	1	1	4/2	21	1	V(6)/IV		G	I		V(6)/IV	V			6	IV			M	0	0	0, 4, 3		0	0
51	51	5/4	5/4	4/2	21	1	V(4)/IV		G	I		V(4)/IV	V			4	IV			M	0	0	0, -1, 1		0	0
51	51	7/4	7/4	4/2	21	1	V/IV		G	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
52	52	0	0	4/2	21	1	I/IV|PAC}		G	I		I/IV	I				IV	PAC	}	M	0	0	-1, 3, 0		-1	-1
52	52	1	1	4/2	21	1	{		G	I									{		0	0				
53	53	0	0	4/2	21	1	}		G	I									}		0	0				
53	53	1	1	4/2	21	1	ii7/V/V		G	I		ii7/V/V	ii		7		V/V			mm7	0	0	4, 1, 5, 2		4	4
53	53	5/4	5/4	4/2	21	1	viio6/V/V		G	I		viio6/V/V	vii	o	6		V/V			o	0	0	4, 1, 7		7	4
53	53	3/2	3/2	4/2	21	1	V/V|HC}		G	I		V/V	V				V	HC	}	M	0	0	2, 6, 3		2	2
54	54	0	0	4/2	21	1	V/v{		G	I		V/v	V				v		{	M	0	0	2, 6, 3		2	2
54	54	1	1	4/2	21	1	VI/v		G	I		VI/v	VI				v			M	0	0	-3, 1, -2		-3	-3
55	55	0	0	4/2	21	1	V/v}		G	I		V/v	V				v		}	M	0	0	2, 6, 3		2	2
55	55	1/4	1/4	4/2	21	1	V(4)/v		G	I		V(4)/v	V			4	v			M	0	0	2, 1, 3		2	2
55	55	3/4	3/4	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
55	55	1	1	4/2	21	1	I/v|PAC		G	I		I/v	I				v	PAC		M	0	0	1, 5, 2		1	1
55	55	3/2	3/2	4/2	21	1	V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
56	56	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
57	57	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
